Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Extract Method,cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@public createNextFor(current Duct) : Duct,"cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@protected wrapWithOrdinal(edge DuctGraph.Ordinal, next Duct) : Duct","[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='176', file_name='src/core/cascading/flow/stream/StreamGraph.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Extract Method,cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@public createNextFor(current Duct) : Duct,"cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@protected wrapWithOrdinal(edge DuctGraph.Ordinal, next Duct) : Duct","[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='176', file_name='src/core/cascading/flow/stream/StreamGraph.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Extract Variable,cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@,cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@edge : DuctGraph.Ordinal,"[BlameRes(sha1='193f3836bd0b66dea3d6770a24dc10012e5908e3', oline='203', file_name='cascading-core/src/main/java/cascading/flow/stream/StreamGraph.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Change Method Access Modifier,cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@private createCloseWindow(next Duct) : Duct,cascading-core/src/main/java/cascading/flow/stream/graph/StreamGraph.java@protected createCloseWindow(next Duct) : Duct,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='222', file_name='src/core/cascading/flow/stream/StreamGraph.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Change Parameter Type,cascading-core/src/main/java/cascading/util/Util.java@graph : SimpleDirectedGraph,cascading-core/src/main/java/cascading/util/Util.java@graph : DirectedGraph,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='143', file_name='src/java/cascading/util/Util.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Change Parameter Type,cascading-core/src/main/java/cascading/util/Util.java@graph : SimpleDirectedGraph,cascading-core/src/main/java/cascading/util/Util.java@graph : DirectedGraph,"[BlameRes(sha1='df4f51f76b4c35a66c7bbd7121a2c46887dd277a', oline='160', file_name='src/java/cascading/util/Util.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/test/java/cascading/flow/stream/CountingCollectStage.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/test/java/cascading/flow/stream/CountingCollectStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='64', file_name='src/test/cascading/flow/stream/CountingCollectStage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/test/java/cascading/flow/stream/CountingItemStage.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/test/java/cascading/flow/stream/CountingItemStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='36', file_name='src/test/cascading/flow/stream/CountingItemStage.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/test/java/cascading/flow/stream/TestGate.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/test/java/cascading/flow/stream/TestGate.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='21', file_name='src/test/cascading/flow/stream/TestGate.java')]",
cascading,2,"('c46e3bde7578119e4c09b76da1bc371f59ceb66f', 'd73098bb0b72a2a1acd5cd6cec4cdca18d5fbfc6')",Add Parameter,"cascading-core/src/test/java/cascading/flow/stream/TestSinkStage.java@public receive(previous Duct, incoming Incoming) : void",cascading-core/src/test/java/cascading/flow/stream/TestSinkStage.java@ordinal : int,"[BlameRes(sha1='6113e6883a013d3d1020e3cea1d497687b5a050e', oline='30', file_name='src/test/cascading/flow/stream/TestSinkStage.java')]",
